result
20.714
.358
.11
6.767
2.745
2.446
1.175
.332
28.169
6.797
1.142
1.083
1.644
1.887
.727
4.108
.792
1.109
2.802
.821
2.095
.869
2.123
1.495
3.619
.625
.907
11.45
44.462
.531
